. Sequence file : [Muscle_ACT1_Complete_sequence_for_phylogeny.fasta.alter.phy]

. Model of nucleotides substitution : Custom

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

      	     	          	           	          	           	             	                                      	 0.68746   0.05521  -0.95757   0.21490  
      	     	          	           	          	           	             	                                      	 0.10096   0.79987   0.18607  -1.08690  

  #51	20   	-3223.78046	Yes        	8        	1393.631    	0.622    	 0.28040   0.21190   0.23560   0.27210	-0.78995   0.07009   0.55346   0.16641  
      	     	          	           	          	           	             	                                      	 0.09275  -1.16665   0.08467   0.98924  
      	     	          	           	          	           	             	                                      	 0.65870   0.07615  -0.95105   0.21620  
      	     	          	           	          	           	             	                                      	 0.17148   0.77038   0.18720  -1.12906  

  #52	20   	-3307.26806	Yes        	8        	91.016    	0.622    	 0.28040   0.21190   0.23560   0.27210	-0.86866   0.06519   0.66357   0.13990  
      	     	          	           	          	           	             	                                      	 0.08627  -1.01994   0.05089   0.88278  
      	     	          	           	          	           	             	                                      	 0.78975   0.04577  -1.08417   0.24865  
      	     	          	           	          	           	             	                                      	 0.14417   0.68747   0.21530  -1.04694  

  #53	20   	-3215.62332	Yes        	8        	1380.641    	0.622    	 0.28040   0.21190   0.23560   0.27210	-0.66542   0.09994   0.50415   0.06133  
      	     	          	           	          	           	             	                                      	 0.13225  -1.40311   0.06225   1.20861  
      	     	          	           	          	           	             	                                      	 0.60002   0.05599  -0.84328   0.18726  
      	     	          	           	          	           	             	                                      	 0.06320   0.94122   0.16214  -1.16656  

  #54	20   	-3212.11265	Yes        	8        	12.612    	0.622    	 0.28040   0.21190   0.23560   0.27210	-0.72287   0.09615   0.54313   0.08359  
      	     	          	           	          	           	             	                                      	 0.12723  -1.25289   0.03330   1.09237  
      	     	          	           	          	           	             	                                      	 0.64640   0.02995  -0.92584   0.24949  
      	     	          	           	          	           	             	                                      	 0.08614   0.85069   0.21602  -1.15285  

  #55	20   	-3213.31239	Yes        	8        	699.929    	0.622    	 0.28040   0.21190   0.23560   0.27210	-0.83535   0.03528   0.62220   0.17787  
      	     	          	           	          	           	             	                                      	 0.04669  -1.10874   0.08000   0.98205  
      	     	          	           	          	           	             	                                      	 0.74051   0.07195  -0.98529   0.17283  
      	     	          	           	          	           	             	                                      	 0.18329   0.76478   0.14965  -1.09772  

  #56	20   	-3156.76870	Yes        	8        	1395.343    	0.622    	 0.28040   0.21190   0.23560   0.27210	-0.80263   0.07332   0.64289   0.08643  
      	     	          	           	          	           	             	                                      	 0.09702  -1.11006   0.06408   0.94896  
      	     	          	           	          	           	             	                                      	 0.76513   0.05764  -1.07863   0.25586  
      	     	          	           	          	           	             	                                      	 0.08906   0.73901   0.22153  -1.04961  

  #57	20   	-3316.23080	Yes        	8        	692.936    	0.622    	 0.28040   0.21190   0.23560   0.27210	-0.73051   0.08256   0.54536   0.10259  
      	     	          	           	          	           	             	                                      	 0.10925  -1.21190   0.06111   1.04154  
      	     	          	           	          	           	             	                                      	 0.64906   0.05496  -0.96511   0.26109  
      	     	          	           	          	           	             	                                      	 0.10572   0.81111   0.22607  -1.14290  

  #58	20   	-3333.98063	Yes        	8        	5160.266    	0.622    	 0.28040   0.21190   0.23560   0.27210	-0.76130   0.10229   0.47235   0.18667  
      	     	          	           	          	           	             	                                      	 0.13536  -1.21584   0.07790   1.00258  
      	     	          	           	          	           	             	                                      	 0.56217   0.07006  -0.87661   0.24438  
      	     	          	           	          	           	             	                                      	 0.19236   0.78077   0.21160  -1.18473  

  #59	20   	-3202.20707	Yes        	8        	4.170    	0.622    	 0.28040   0.21190   0.23560   0.27210	-0.78836   0.13260   0.55862   0.09714  
      	     	          	           	          	           	             	                                      	 0.17546  -1.31602   0.13509   1.00546  
      	     	          	           	          	           	             	                                      	 0.66484   0.12150  -0.94449   0.15815  
      	     	          	           	          	           	             	                                      	 0.10010   0.78301   0.13694  -1.02005  

  #60	20   	-3403.23229	Yes        	8        	5488.275    	0.622    	 0.28040   0.21190   0.23560   0.27210	-0.66925   0.08800   0.45641   0.12484  
      	     	          	           	          	           	             	                                      	 0.11644  -1.27001   0.09948   1.05409  
      	     	          	           	          	           	             	                                      	 0.54320   0.08947  -0.92088   0.28821  
      	     	          	           	          	           	             	                                      	 0.12865   0.82088   0.24955  -1.19908  

  #61	20   	-3303.70115	Yes        	8        	700.687    	0.622    	 0.28040   0.21190   0.23560   0.27210	-0.78402   0.11170   0.52962   0.14270  
