. Sequence file : [Muscle_ACT1_Exon2_for_phylogeny.fasta.alter2.phy]

. Model of nucleotides substitution : Custom

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #49	104   	-6112.05948	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.73396   0.08314   0.42988   0.22094  
      	     	          	           	          	           	             	                                      	 0.10359  -1.29727   0.14504   1.04865  
      	     	          	           	          	           	             	                                      	 0.48900   0.13242  -0.81894   0.19753  
      	     	          	           	          	           	             	                                      	 0.21049   0.80186   0.16544  -1.17779  

  #50	104   	-6080.72657	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.92721   0.12241   0.57834   0.22646  
      	     	          	           	          	           	             	                                      	 0.15251  -1.14552   0.10652   0.88649  
      	     	          	           	          	           	             	                                      	 0.65788   0.09725  -0.91605   0.16092  
      	     	          	           	          	           	             	                                      	 0.21575   0.67787   0.13478  -1.02839  

  #51	104   	-5822.13352	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.90135   0.07211   0.56875   0.26049  
      	     	          	           	          	           	             	                                      	 0.08984  -1.16952   0.13627   0.94341  
      	     	          	           	          	           	             	                                      	 0.64696   0.12441  -0.88258   0.11121  
      	     	          	           	          	           	             	                                      	 0.24818   0.72139   0.09314  -1.06271  

  #52	104   	-5797.18585	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.76247   0.07138   0.48977   0.20132  
      	     	          	           	          	           	             	                                      	 0.08893  -1.11738   0.07188   0.95656  
      	     	          	           	          	           	             	                                      	 0.55712   0.06563  -0.93871   0.31596  
      	     	          	           	          	           	             	                                      	 0.19180   0.73145   0.26463  -1.18788  

  #53	104   	-6060.47412	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.76050   0.09993   0.49878   0.16179  
      	     	          	           	          	           	             	                                      	 0.12450  -1.33525   0.08281   1.12794  
      	     	          	           	          	           	             	                                      	 0.56737   0.07560  -0.79473   0.15176  
      	     	          	           	          	           	             	                                      	 0.15414   0.86250   0.12710  -1.14374  

  #54	104   	-6183.40624	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.82497   0.06306   0.51977   0.24214  
      	     	          	           	          	           	             	                                      	 0.07857  -1.15792   0.12439   0.95496  
      	     	          	           	          	           	             	                                      	 0.59125   0.11357  -0.90320   0.19839  
